,Headline,Acq Status,Acquirer,Acquired
24,Another Digg Exec Is Out: Longtime CFO John Moffett Leaves,No,,
25,Apkudo Acquires Blue Potato,Yes,Apkudo,Blue Potato
26,Appear Wins “Groundbreaking Technology Award” at Global AirRail Awards 2011,No,,
27,Are Slatecast’s Online Storyboard Tools Any Good?,No,,
28,Ascent Media Corporation Acquires Monitronics,Yes,Ascent Media Corporation,Monitronics
29,Athenahealth to pay up to $30M for Georgia firm,Not sure,,
30,Auctionpay Acquired by Global Payments Inc.,Yes,Global Payments Inc.,Auctionpay
31,"Augure Acquires iMente, the Spanish Leader in the Online and Social Media Monitoring Industry",Yes,Augure,iMente
32,Automattic Buys Up Thing Labs’ Plinky To Help Bloggers Overcome Writer’s Block,Yes,Automattic,Thing Labs' Plinky
33,Axial acquires Mayo Clinic mobile health startup mRemedy,Yes,Axial,Mayo Clinic mobile health startup mRemedy
34,BETACOM SA CONNECTS TO THE EO NETWORKS SA,Not sure,BETACOM SA,EO NETWORKS SA
35,Baidu to Buy 59% of Renren�s Group-buying Service Nuomi for $160 million,Not sure,,
36,Belgacom Gets a Taste of Jinni,No,,
37,Bentley Acquires Microprotol to Extend AutoPIPE�s Market Leadership in High-pressure Plant Environments,Yes,Bentley,Microprotol
38,Better Place Sold To Sunrise Group For $12 Million,Yes,Sunrise Group,Better Place
39,Big Data Consolidation: WANdisco Buys AltoStor For $5.1M To Beef Up Its Apache Hadoop Cred,Yes,WANdisco,AltoStor
40,Big news - Rackspace and Slicehost,Not sure,Rackspace,Slicehost
41,BillMonk is now an Obopay company! Settle up online.,Yes,Obopay company,BillMonk
42,Biomedical Structures buys fellow Warwick biomaterial firm Concordia,Yes,Biomedical Structures,Concordia
43,Blekko Bans 1.1 Million Spammy Domains Via New Algorithm,No,,
44,Bloomberg Agrees to Buy Bureau of National Affairs for About $990 Million,Yes,Bloomberg,Bureau of National Affairs
45,Boston Scientific buys Intelect Medical for $60M,Yes,Boston Scientific,Intelect Medical
46,Boston's Rue La La gets shuffled in eBay-GSI merger,Not sure,,
47,Boundaryless Brands Sell FastFireplaces and Exits,No,,
48,"Bwin- Gioco Digitale acquisition, the CEO reveals details of the agreement by 115 mln",Yes,,
49,CDC Software aquires WKD Solutions,Yes,CDC Software,WKD Solutions
50,CallSource Appoints Brad Barnett as President,Not sure,,
51,Canadian Meter Company Picks Field Service 360,No,,
52,Canadian Standards Association Aquires Distil Interactive,Yes,Canadian Standards Association,Distil Interactive
53,Canadian private equity group buys Civica for �380 million,No,,
54,Carbox boucle une 3�me lev�e aupr�s de Mobivia Groupe,Not sure,,
55,Carey Watermark Investors Buys Raleigh Marriott City Center for $89 Mln,No,,
56,"Carpathia Hosting Names Michael Fox Director of Sales, Public Sector",Not sure,,
57,Cascade Microtech Pays $27.7 Million for German Company,Yes,Cascade Microtech,
58,Chinese Portal Company SINA Buys Part of Focus Media For About $1B in Stock,Yes,SINA,Focus Media
59,"Cisco Systems Announces Agreement to Acquire Andiamo Systems, Inc.",Yes,Cisco Systems,"Andiamo Systems, Inc."
60,Clavis Secures Funding from Enterprise Ireland,Not sure,Enterprise Ireland,Clavis 
61,Clicker Acquires - www.dahoodbuzz.com,Yes,Clicker,www.dahoodbuzz.com
62,Cloud computing heats up as SourceFire pays $21M for Immunet,No,,
63,CodeTwo Attains Microsoft Certified Partner Status,Not sure,Microsoft,CodeTw
64,CognitiveData acquires CMS Direct,Yes,CognitiveData,CMS Direct
65,Collective Buying Video Ad Firm Web TV Enterprise,Yes,,
66,Columbian Announces Ownership Change,No,,
67,"Company Preparing to Launch ""ubroadcast TV,"" an Online Video Community",No,,
68,Complex Media Acquires SuperGlued,Yes,Complex Media,SuperGlued
69,Comtech and CPI International Announce Termination of Merger Agreement,No,,
70,"Confirmed: Elsevier Has Bought Mendeley For $69M-$100M To Expand Its Open, Social Education Data Efforts",Yes,Elsevier,Mendeley
71,Conker enter Wayra accelerator,Not a headline,,
72,Construction sector organizations in 100 percent ownership Tilaajavastuu Finland O,Not sure,,
73,"Counting down to Alibaba, Qunar gives China�s IPO prospects another shot in the arm",No,,
74,Crosslink Names Former Bay Partners GP Eric Chin As Partner,No,,
75,CrowdGather Adds Writers.net to Portfolio of Forum Properties,No,,
76,Crucell eagerly accepts $2.3B buyout offer from J&J,Yes,J&J,Crucell
77,Current’s Claims of ‘Profitability’ Ring False,Not a headline,,
78,D.C. entrepreneur takes majority stake in Tech 2000,No,,
79,DFL-DDP Version 1.2 Is Coming Available In Our User-Only Forum,No,,
80,"DISH Wins Bankruptcy Auction, Buys Blockbuster Assets For $228M In Cash",No,,
81,Danoo and Ideacast to relaunch as RMG Networks,Yes,Danoo,Ideacast
82,"Daren Bitter - Director of Sales, Blink Consulting",No,,
83,Dell Shops Direct For Zing,Not sure,Dell,Zing
84,"DiACardio LTD, & UltraLinq Healthcare Solutions Announce Partnership",Not sure,,
85,Diller's IAC buys social network site Zero Degrees,Yes,Diller's IAC ,Zero Degrees
86,DirecTV Buys LifeShield: Reports,Yes,DirecTV,Lifeshield
87,Docmail Connect for Google Apps launched!,No,,
88,"EGPI Firecreek, Inc. Subsidiary Terra Telecom Partners with New England-Based Community College",No,,
89,EMC to complete Isilon buyout Tuesday,Not sure,,
90,"Ebay Spends More Than $1.2 Billion To Buy BillMeLater And DBA.dk, And Lays Off 10% Of Employees",No,,
91,EditMe - Reviews by PC Magazine,Not a headline,,
92,Electronic Arts Acquires Vision Software PTY Ltd.,Yes,Electronic Arts,Vision Software PTY Ltd.
93,Electronic Arts Announces Acquisition of PlayNation; Online Entertainment Developer Adds to EA's Internet Content.,Yes,Electronic Arts,PlayNation
94,EnerNOC Q3 revenue jumps on customer growth,Not a headline,,
95,Entech Solar Enters Into Preferred Stock Agreement of Up to $5 million,No,,
96,Entelos pays up to $39M for Iconix Biosciences,Not sure,Entelos,Iconix Biosciences
97,Equilar's Social Atlas Helps Advisers Lure Wealthy Facebook-Skipping CEOs,No,,
98,Event Management Giant Cvent Scoops Up Seed Labs To Help It Go Mobile,Yes,Cvent,Seed Labs
99,"Experian Buys CheetahMail, Aims to Boost DM Services",Yes,Experian,CheetahMail
100,FMC Technologies Awarded $36 Million Contract From Pemex,No,,
101,"Facebook Makes Another ""Acq-Hire"" Chai Labs; Deal Estimated At $10 Million",No,,
102,Facebook selects us as the firs PDC in Latin America,No,,
103,Family-Focused Mobile Social Network 23snaps Hits Half A Million Users,No,,
104,Fenox Venture Capital Invests in Southeast Asian Technology Media Startup Tech in Asia,Not sure,,
105,"Filmakers Library, Inc. Joins Forces with Alexander Street Press, LLC",Yes,"Filmakers Library, Inc.","Alexander Street Press, LLC"
106,Filogix To Acquire Cyence International Inc.,Yes,Filogix,Cyence International Inc
107,Flipkart Acquires Letsbuy.com to Increase India Market Share,Yes,Flipkart,Letsbuy.com
108,"Follow Reuters      Facebook     Twitter     RSS     YouTube    Pictures Visitors run away from waves from a tidal bore as it surges past a barrier on the banks of Qiantang River, in Hangzhou Zhejiang province, August 25, 2013. REUTERS/Stringer Reuters P",Not a headline,,
109,Food Subscription Service Foodzie Gets Gobbled Up By Video Shopping Network Joyus,Yes,Joyus,Foodzie
110,Former Playfish VP Raises $2.6M from Accel for Stealthy Game Company,No,,
111,Founders Of Oweing.Com Launch DebtScore.Com,No,,
112,Freeman Acquires Encore Productions,Yes,Freeman,Encore Productions
113,"Fring, An Early Mover In Mobile Messaging And Video Apps, Sells For $50M To Genband To Build Out WhatsApps For Carriers",Yes,Genband,Fring
114,GE Buys Electrical Engineering Company Converteam For Up To $3.7 Billion,Yes,GE,Electrical Engineering Company Converteam
115,GEC offers over $4 billion for Fore Systems,Yes,GEC,Fore Systems
116,"Gamefly, Inc. acquired Direct2Drive.com",Yes,"Gamefly, Inc.",Direct2Drive.com
117,Gamevil to invest $10M in U.S. game developers,No,,
118,Gannett Buying Belo in $2.2 Billion Deal,Yes,Gannett,Belo
119,Gehry Technologies Acquires Bimshare,Yes,Gehry Technologies,Bimshare
120,Gimv Buys CapMan Investments and Commitments,Yes,Gimv,CapMan Investments
121,GirlsInTech Pick Their Top 100 Women In Tech In Europe,No,,
122,GlaxoSmithKline Acquires Okairos for $325 Million,Yes,GlaxoSmithKline,Okairos
123,Glu Mobile Expands Real-Money Gambling Portfolio with Probability,Not a headline,,
124,Good Energies Buys More Equity In Glass Maker SAGE,No,,
125,"Goodbye, Cull TV. Hello MOX.",No,,
126,Google Acquires Mobile Platform Operator Zingku,Yes,Google,Zingku
127,Google Buys Sketch Up,Yes,Google,Sketch Up
128,"Google Buys Wind Power, First Deal for “Google Energy”",No,,
129,Google Closes The $12.5 Billion Deal To Own Motorola,Yes,Google,Motorola
130,Gorkana joins Durrants and Metrica to deliver unique service for the PR industry,Yes,,
131,"GraphEffect Launches SHIFT.com, Former Facebook Leader Joins Executive Team",No,,
132,HARMAN Announces Successful Conclusion of $200M Sale of QNX Software Unit,Yes,Harman,QNX Software Unit
133,HOV Services and SOURCECORP Agree to Merge,Yes,HOV Services,SOURCECORP
134,"Haemonetics concludes successful tender for Global Med Technologies, Inc.",Yes,Haemonetics,"Global Med Technologies, Inc."
135,HealthCentral Network Acquires HIV Resources Site TheBody.com,Yes,HealthCentral Network ,TheBody.com
136,Hologic to buy Gen-Probe in a deal worth $3.7B,Yes,Hologic,Gen-Probe
137,Honored by the Windows Azure Partner Award of 2010,No,,
138,IBM to buy OpenPages,No,,
139,IQE acquires Galaxy Semiconductors,Yes,IQE,Galaxy Semiconductors
140,"Imeem Gobbles Up A Young Startup, Anywhere.FM",Yes,Imeem,Anywhere.FM
141,"In The Shadow Of YouTube, Vuclip Grows Its Mobile Video Network To 80M Uniques, Fends Off Suitors And Eyes Up Acquisitions",Not sure,Vuclip,
142,InQvent-backed healthcare services firm Alacurity eyes up to $5M in Series A funding,Not sure,Alacurity,
143,InfoSpace sells directory business for $225 million,Yes,,
144,Infotech Enterprises announces its foray into the Hitech industry with Design services,Not sure,,
145,InnerWorkings Acquires UK-Based etrinsic Print Outsource Firm,Yes,InnerWorkings,UK- Based etrinsic Print Outsource Firm
146,Intel Again Seeks To Use Acquisitions To Expand In Wireless,Yes,Intel,
147,Intel Corp acquires Ford Microelectronics Inc from Visteon Corp,Yes,Intel Corp,Ford Microelectronics
148,Intel’s Havok Acquires 3D Game Engine Provider Trinigy,Yes,Havok,Trinigy
149,"Internet Brands Buys Two Web Sites, Looks To Future Acquisitions",Not sure,,
150,Interview w/ Captain Dash Founders,Not a headline,,
151,Investcorp Buys 30% Stake In Leading Turkish Menswear Retailer Orka Group,No,,
152,Invitel Reaches Sale and purchase Agreement for Fibernet,Not sure,Invitel,Fibernet
153,Japan's Cybird Buys Mobile Entertainment Firm Airborne for $90 Million,Yes,Cybird,Airborne
154,"Japan�s GREE Acquires Another U.S. Studio, App Ant, To Build Games For Western Audiences",Yes,GREE,App Ant
155,JavaScript with expiration date,No,,
156,"Joobili almost back from the deadpool, finds buyer for assets with sale to TravelShark",Not a headline,,
157,K5 Publishing integrates Diplomica Verlag,Yes,K5 Publishing,Diplomica Verlag
158,KEYON COMPLETES PURCHASE OF DYNAMIC BROADBAND WIRELESS ASSETS,Yes,KEYON,Dynamic Broadband Wireless Assets
159,Keep Your Little Ghosts & Goblins Safe From Ghouls This Halloween,Not a headline,,
160,Kensey Nash buys Nerites for $20M,Yes,Kensey Nash,Nerites
161,KeyToSound website front page news,No,,
162,Komli Media Expands Aggressively Across Asia-Pacific,Not sure,Komli Media,
163,"Kratos Defense & Security Solutions Completes Merger With Digital Fusion, Inc.",Yes,Kratos Defense & Security Solution,"Digital Fusion, Inc."
164,Kronos® Acquires Stromberg from Paychex,Yes,Kronos,Stormberg
165,La Nevera Roja compra Entuboca.com,Not sure,Entuboca.com,Nevera Roja
166,Learn Arabic on busuu.com,Not a headline,,
167,Level 3 To Acquire Global Crossing For $3 Billion In Stock,Yes,Level 3,Global Crossing
168,"Levine Leichtman Buys Genova Diagnostics From Nautic, Ferrer Freeman",Yes,Levine Leichtman,Genova Diagnostics
169,"Liberty Global Buys 100% equity in ASTER, from Mid Europa",No,,
170,LibreDigital Buys E-Commerce Technology From HarperCollins,Yes,LibreDigital,E-commerce Tech
171,LifeLock Strengthens Market Position Through Acquisition of ID Analytics,Yes,LifeLock,ID Analytics
172,LindenMobileVentures invests in Lunagames,No,,
173,Line Systems Acquires Magellan Hill Technologies,Yes,Line Systems,Magellan Hill Technologies
174,"LineRate Systems� Software Defined Network Services Redefine Performance, Flexibility and Cost for Cloud and Web Scale Service Providers.  Photobucket deploys LineRate Proxy to Scale On Demand While Slashing Costs",No,,
175,"LiveIntent Adds Jason Pressman to Board, Raises $8 millon",No,,
176,M2M DATA ACQUIRES IMPLICIT MONITORING SOLUTIONS,Yes,M2M Data,Implicit Monitoring Solutions
177,MCI's Invia Reaches Purchase Deal for NetTravel,Yes,NetTravel,Invia
178,Mascoma Acquires SunOpta BioProcess Inc.,Yes,Mascoma,SunOpta BioProcess Inc.
179,MassHighTech: The Journal of New England Technology,Not a headline,,
180,Mavent Acquired By Ellie Mae,Yes,Ellie Mae,Mavent
181,Memphis Networx Now Part of Zayo Bandwidth,Not sure,Zayo Bandwidth,Memphis Networx
182,Meredith 10-q for Dec 2010,No,,
183,Merger of NICHE and ChiHealth,Yes,,
184,MethylGene Shareholders Approve the Plan of Arrangement to Reincorporate in the United States as Mirati Therapeutics Inc.,Not sure,,
185,Micron will acquire memory chip maker Numonyx for $1.27 billion,Yes,Micron,Numonyx
186,Microsoft Acquires PhoneFactor To Keep Hackers From Destroying Your Life,Yes,Microsoft,PhoneFactor
187,Microsoft Expands Presence in Healthcare IT Industry With Acquisition of Health Intelligence Software Azyxxi,Yes,Microsoft,Azyxxi
188,Midas Medici's CIMCORP Wins $3 Million Contract for Data Center Solutions in Brazil,No,,
189,"Mistral Ventures, Inc. Signs LOI to Acquire Assets of Tech World Capital, Inc.",Yes,"Mistral Ventures, Inc","Assets of Tech World Capital, Inc"
190,Mitre Media Announces $8.6M Capital Raise and Acquisitions,No,,
191,"Mobile Vikings celebrates 50,000th customer",No,,
192,MobileBits Aquires Aixum Tec A.G.,Yes,MobileBits,Axium Tec A.G.
193,Monroe Capital Provides $14 Million Senior Secured Credit Facility to Technology Services Company,No,,
194,Mortgage closing costs up 6% this year,No,,
195,Music Tech Pioneers Combine to Create Premier Site for Collaboration,Not sure,,
196,NEP Acquires Trio Video,Yes,NEP,Trio Video
197,Nestle Buys 'Medical Food' Start-Up,Yes,Nestle,
198,NetApp Announces Results for Third Quarter Fiscal Year 2013,No,,
199,"NetMediaEurope Buys CBS Interactive�s German Sites, Including ZDNet.de And CNET.de",Yes,NetMediaEuropeqCBS Interactive's German Sites,
200,"Netsmart Acquires Sequest Technologies, Inc. to Expand Solutions and Presence in Child and Family Services and Substance Use Treatment Communities",Yes,Netsmart,"Sequest Technologies, Inc"
201,Netural holt sich Mark Kramer,Not sure,,
202,"Newly AOL-Free Bebo Adds Hi5, Oodle Executives",No,,
203,Nokia to acquire leading consumer email and instant messaging provider OZ Communications,Yes,Nokia,OZ Communications
204,Nowaco CE Up for Sale by CCMP and Bancroft,No,,
205,"Nstein Technologies acquires Eurocortex, a leading web content management software provider",Yes,Nstein Technologies,Eurocortex
206,Nuance Closes Acquisition of BeVocal,Yes,,
207,Nuance Communications To Buy QuadraMed's Health Information Management Business,Yes,,
208,Nuance buys Atlanta's Webmedx,Yes,Nuance,Webmedx
209,OUCH: AOL Sold Buy.at For Just $17 Million -- A $108 Million Loss,No,,
210,Odyssey Investment Partners Buys Fischbein,Yes,Odyssey Investment Partners,Fischbein
211,Omnicity Acquires North Central Communications and Announces New Board Member,Yes,Omnicity,North Central Communications
212,One Two Trade Forex,Not sure,,
213,One year after the acquisition: was it all worth it?,No,,
214,Onetime IPO Candidate Wintegra Bought By PMC-Sierra,Not sure,PMC-Sierra,Wintegra
215,Oomba Inc. Engages MZ Group for Investor Relations,Not sure,Oomba Inc.,MZ Group
216,OutStart and Eedo Knowledgeware Merge,Yes,OutStart,Eedo
217,Oxford University Hospitals NHS proves outstanding compliance levels with Enterprise Study,Not sure,,
218,PLATO Learning Enters into Merger Agreement with Thoma Bravo,Yes,,
219,PacWest Bancorp to buy CapitalSource for $2.29 billion,Yes,PacWest Bancorp ,CapitalSource
220,"Pamet Software Purchases Hunter Systems Group, Inc.'s Consulting Business",Yes,Pamet Software,"Hunter Systems Group, Inc."
221,"Patrick Ip, 22 Year Old CEO, Merges with NYC's Post + Beam",Yes,Patrick Ip,Post + Beam
222,PayPal Hits 100 Million Active Users,No,,
223,Peak Rock Buys Atlas Paper,Yes,Peak Rock,Atlas Paper
224,Pearson and Apple Acquire PowerSchool,Yes,Pearson and Apple,PowerSchool
225,Persistent Systems Recognized as a Top 100 Global Services Provider for 2012,No,,
226,Petsky Prunier Advises SQAD on its Sale to Clarion Capital Partners,No,,
227,Pfizer ups ante on Santaris RNA discovery deal with $614M pact,No,,
228,"Pipeline embraces expression, expansion at Innovator of the Year",No,,
229,Pipex snaps up web host outfit £5.9m for Donhost,Not a headline,,
230,Pitchengine Social Media Release,Not a headline,,
231,Platinum Equity to Buy CBS Outdoor in $225 Mln Deal,Yes,Platinum Equity,CBS Outdoor
232,Plexxikon Inc. To Join Daiichi Sankyo Group,Yes,Daiichi Sankyo Group,Plexxikon Inc.
233,Plum Creek buys Atlanta quarry interest for $154M,Not sure,Plum Creek,Atlanta
234,Praxair Acquires Dominion Gas,Yes,Praxair,Dominion Gas
235,"Preferred Systems Solutions, Inc. (PSS), announced today that it has acquired Integrated Network Services, Inc. (INSI)",Yes,PSS,INSI
236,"PureSafety Acquires Unique Software Solutions, Inc.",Yes,PureSafety,"Unique Software Solutions, Inc."
237,Qiagen to pay up to $135M for Corbett Life Science.,Yes,Qiagen,Corbett Life Science
238,Quantcast Acquires Startup MakeGood To Improve Ad Data Aggregation,Yes,Quantcast,Startup MakeGood
239,"Quepasa, The Facebook For Latinos, Buys Social Game Developer XtFT For $4 Million",Yes,Quepasa,XtFT
240,RBC To Buy BlueBay For US$1.5B,Yes,RBC ,BlueBay
241,Rackspace Joins Open Invention Network as Licensee,No,,
242,Rally Software buys NC-based 6th Sense Analytics,Yes,Rally Software,6th Sense Analytics
243,"Rancho Santa Monica Developments entered into an Agreement to sell AptHost Communications USA Ltd (""Apthost"") to Hostgator.com LLC",Yes,Hostgator.com LLC,AptHost
244,RedAlumnos supera los 50.000 usuarios,Not sure,RedAlumnos,
245,"RedPrairie Acquires Shippers Commonwealth, Leading SaaS Transportation Management System (TMS) Provider",Yes,RedPrairie,Shippers Commonwealth
246,RelevantView Merges with Imperium,Yes,,
247,"Rent My Vacation Home ( RMVH network)Opens Rent Disney World Vacation Homes in Orlando, Florida",No,,
248,Rent My Vacation Home Opens store number 25 Rent My Disney Vacation Home In Orlando Florida,Not a headline,,
249,RentPayment to Buy Property Bridge,Yes,RentPayment,Property Bridge
250,"Rentrak buys Nielsen EDI, consolidating box office reporting business",Yes,Rentrak,Nielsen EDI
251,RightStar Systems Acquires Fellow BMC Software Solution Provider Progressive Service Management,Yes,RightStar Systems,Progressive Service Management
252,RuTube Founders Exit at $15 Million Valuation,No,,
253,Russian ISP Siberian Networks sells 20% ownership to CapMan,Not sure,,
254,SAIC Completes Acquisition of Spectrum San Diego,Yes,SAIC,Spectrum San Diego
255,SAIC announces acquisition of Atlan,Yes,SAIC,Atlan
256,SAP Will Buy SuccessFactors For $3.4 BillionSAP Will Buy SuccessFactors For $3.4 Billion,Not sure,,
257,SCM Microsystems and Hirsch Electronics to Merge,Yes,SCM Microsystems,Hirsch Electronics
258,SVASE Unveils the ‘Hot’ Emerging Tech Companies to Debut at Launch: Silicon Valley 2010 — the Valley’s Leading Startup Showcase,No,,
259,SYNETY eyes global expansion with proposed reverse AIM listing,Not sure,,
260,Sabre Holdings Buys EB2 International,Yes,Sabre Holdings,EB2 International
261,Saft Awarded $1.2 Million Contract by Ball Aerospace to Provide Lithium-ion Battery for LEO Satellite Program,No,,
262,Salesforce reported to buy GoInstant for $70m,Yes,Salesforce,Golnstant
263,Salesforce.com Reported To Buy GoInstant,No,,
264,"Salesforce.com Takes $300M Loan For ExactTarget Acquisition, Cash Resources Getting Tight",No,,
265,San Diego�s Vibrant Startup Community Shows Up For A Night Of Stellar Pitches,No,,
266,SavATree Acquires BEV Capital-Backed DeerTech,Yes,SavATree,DeerTech
267,Say Goodbye to TweetChat� It�s Being Absorbed Into oneQube SmartStream,Yes,oneQube SmartStream,TweetChat
268,"Sciele Pharma, A Shionogi Company, To Acquire Addrenex Pharmaceuticals, Inc., A U.S. Specialty Pharmaceutical Company",Yes,Sciele Pharma,"Addrenex Pharmaceuticals, Inc"
269,"Scientific Conservation Buys Public Company For $12.9M, Changes Name",Yes,Scientific Conservation,Public Company
270,Secure & IT acquired in 2010,Yes,,Secure & IT
271,ServerCentral Completes Sale of WingSix Brand to UK-2 Group,No,,
272,SheKnows.com Buys Two Pregnancy Sites,Yes,SheKnows.com,
273,Shopify Aquires Jet Cooper,Yes,Shopify,Jet Cooper
274,Sina Afra invests in Lidyana,Not sure,,Lidyana
275,Sitemasher sold and winding down... but to whom?,Not sure,,
276,Smart Grid Shopping: Itron Acquires Asais,Yes,Itron,Asais
277,So You Just Bought Sex.com For $13 Million – Now What?,Yes,,Sex.com
278,Softscape acquired by competing software firm,Not sure,competing software firm,Softscape
279,Software Updates Can't Slow Comm100 Live Chat,No,,
280,SonicWALL Acquired By Private Equity Group For $717M,Not sure,,SonicWALL
281,Spanish buyer set to take over Talecris,Yes,,Talecris
282,"Speakertext: Find, Read, Share – and Monetize – What People Are Saying Inside of Videos",No,,
283,Startup Acquires Web Host eNom,Yes,Startup ,eNom
284,Stemgent to buy Asterand�s human tissue biz for $9M,Not sure,Stemgent,
285,Struggling Planet Out Merges with Here Network,Yes,Planet Out ,Here Network
286,Stryker Announces Agreements To Acquire Assets,No,,
287,"Suddenly, AOL Loves Lifestreaming; Buys Socialthing!",Yes,AOL,Socialthing
288,Sugar Publishing Acquires ShopStyle,Yes,Sugar Publishing,ShopStyle
289,Synageva lands orphan drug status in Europe,No,,
290,Syncables to Demonstrate Wireless Syncing of Computers and Phones with Syncables® 360 and Intel® My WiFi Technology at Computex,Not sure,Syncables,Intel
291,Synnex buys IBM's customer care BPO services business for $505 million,Yes,Synnex,BPO services
292,T-Mobile UK Launches Mobile Phone GPS Navigation with TeleNav,No,,
293,TCA's Ralph Mayer Joins Angel Capital Association Board,Not sure,,
294,TNW Startup Awards revela vencedores,No,,
295,TNW: SWITZERLAND�S SQUIRRO RAISES SEED FUNDING TO HELP ADD CONTEXT TO YOUR DATA,No,,
296,TXTImpact Released Enhanced SMS Autoresponder for Text Message Marketing,No,,
297,Talent Technology buys Seattle startup TalentSpring,Yes,Talent Technology,Seattle startup TalentSpring
298,Tampa Bay's Plan to Start,No,,
299,"Tangoe, Inc. Acquires ttMobiles",Yes,"Tangoe, Inc. ",ttMobiles
300,Tasit receives $2M from Aslanoba Capital,No,,
301,Taulia Raises $8.5 Million To Help Companies Pay Their Invoices Early,No,,
302,Tecomet pays $45M in cash for OEM biz,Yes,Tecomet,OEM
303,Telecom Italia Completes Sale of LibertySurf Group to Iliad,Yes,Iliad,LibertySurf Group
304,Telenor snaps up Tele2's fibre broadband business for �88m,No,,
305,Teradata Quiet on Plans for Database Virtualization Vendor xkoto,Not sure,,
306,Terremark Acquires Leading Data Storage Company,Yes,Terremark,
307,Tetra Tech Awarded $31 Million U.S. Navy Information Technology Support Contract,No,,
308,Texas Investors Highlander Buys ProService Poland from Enterprise Investors Co,Yes,Texas Investors Highlander,Proservice Poland
309,The Active Network Acquires Hy-Tek Sports Software,Yes,The Active Network,Hy-Tek Sports
310,The Pursuant Group Acquires KMA Direct Communications,Yes,The Pursuant Group,KMA Direct Communications
311,"The View Hot Topics - Ashley Madison, Cheating and Infidelity Web site",Not a headline,,
312,"Theravent (TM) Advanced Nightly Snore Therapy and Provent (R) Sleep Apnea Therapy Now Available Through Theravent, Inc.",No,,
313,"Thermo Fisher Scientific Signs Agreement to Acquire Innovator in Miniature NMR Spectrometers, picoSpin",Yes,Thermo Fisher Scientific,picoSpin
314,ThingLink Acqu-hires Pixboom To Double Down On Fashion,Yes,ThingLink,Pixboom
315,This is what developing for Android looks like,Not a headline,,
316,Thomson Reuters to Acquire Sabrix,Yes,Thomson Reuters,Sabrix
317,"Three Pillar Global Acquires Professional Services Division of PointAbout, Inc.",Yes,Three Pillar Global,"Professional Services Division of PointAbout, Inc."
318,Top 50 Article Directories List,Not a headline,,
319,Transcend Infrastructure (American Tower) to acquire Essar Telecom Infrastructure,Yes,Transcend Infrastructure (American Tower),Essar Telecom Infrastructure
320,"Transhield Receives $8.3 Million Contract for Protective MRAP Vehicle and Equipment Covers, Making it the Largest Defence Contract in Company's History",No,,
321,"Trendrr Appoints Alex Mann, Founder of AM Analytics, its Director",Not sure,,
322,Tri Pointe to buy Weyerhaeuser's homebuilding unit for $2.7 bln,No,Tri Pointe,Weyerhaeuser
323,"Trianz announces Beta release of IPSpace 1.0, a Royalty Management Solution for Intellectual Property Owners in High-Tech and Media Industries",No,,
324,TrustedID Acquires Unsubscribe.com to Expand Consumer Protection,Yes,TrustedID,Unsubscribe.com
325,Tuxera Joins Linux Foundation,Yes,Linux Foundation,Tuxera
326,TweetUp Buys Android Twitter Client Twidroid And News Aggregator Popurls,Yes,Tweetup,Twitroid and News Aggregaror Popurls
327,TypeFrag Selects Internap to Deliver High-Performance Network for Online Gaming VoIP,Not sure,,
328,UBM Boost Online PR Business With $10 Million Virtual Press Office Acquisition,Not sure,,
329,UFG PE Part of Three-way Deal to Purchase Rising Star Media,Not sure,,
