,Headline
201,Chinese Portal Company SINA Buys Part of Focus Media For About $1B in Stock
202,Big Data Consolidation: WANdisco Buys AltoStor For $5.1M To Beef Up Its Apache Hadoop Cred
203,Electronic Arts Announces Acquisition of PlayNation; Online Entertainment Developer Adds to EA's Internet Content.
204,Nuance Closes Acquisition of BeVocal
205,CDC Software aquires WKD Solutions
206,Hologic to buy Gen-Probe in a deal worth $3.7B
207,"Follow Reuters      Facebook     Twitter     RSS     YouTube    Pictures Visitors run away from waves from a tidal bore as it surges past a barrier on the banks of Qiantang River, in Hangzhou Zhejiang province, August 25, 2013. REUTERS/Stringer Reuters P"
208,Russian ISP Siberian Networks sells 20% ownership to CapMan
209,Rally Software buys NC-based 6th Sense Analytics
210,HOV Services and SOURCECORP Agree to Merge
211,Synageva lands orphan drug status in Europe
212,product inconsistency (it's a good thing)
213,Columbian Announces Ownership Change
214,"In The Shadow Of YouTube, Vuclip Grows Its Mobile Video Network To 80M Uniques, Fends Off Suitors And Eyes Up Acquisitions"
215,"Ebay Spends More Than $1.2 Billion To Buy BillMeLater And DBA.dk, And Lays Off 10% Of Employees"
216,"8x8 Announces Acquisition of Central Host, Inc."
217,HealthCentral Network Acquires HIV Resources Site TheBody.com
218,80108 and Go2 merge to focus on personal mobile content
219,"Liberty Global Buys 100% equity in ASTER, from Mid Europa"
220,NEP Acquires Trio Video
221,Nuance Communications To Buy QuadraMed's Health Information Management Business
222,Vinnex International Championship 2010
223,"Daren Bitter - Director of Sales, Blink Consulting"
224,CrowdGather Adds Writers.net to Portfolio of Forum Properties
225,ActiveCause Assets Assimilated Into Ingk Labs Portfolio
226,Tuxera Joins Linux Foundation
227,Appear Wins “Groundbreaking Technology Award” at Global AirRail Awards 2011
228,Current’s Claims of ‘Profitability’ Ring False
229,Boundaryless Brands Sell FastFireplaces and Exits
230,@WalmartLabs Acquires Cloud Computing Startup OneOps & Delicious Founder�s Tasty Labs
231,GE Buys Electrical Engineering Company Converteam For Up To $3.7 Billion
232,CodeTwo Attains Microsoft Certified Partner Status
233,stack.horizobu.com - an exploration engine
234,Amgen pays Nektar $50M for polymer
235,Cloud computing heats up as SourceFire pays $21M for Immunet
236,UFG PE Part of Three-way Deal to Purchase Rising Star Media
237,Talent Technology buys Seattle startup TalentSpring
238,"Carpathia Hosting Names Michael Fox Director of Sales, Public Sector"
239,"Mobile Vikings celebrates 50,000th customer"
240,Mortgage closing costs up 6% this year
241,Nowaco CE Up for Sale by CCMP and Bancroft
242,Smart Grid Shopping: Itron Acquires Asais
243,"Newly AOL-Free Bebo Adds Hi5, Oodle Executives"
244,"Japan�s GREE Acquires Another U.S. Studio, App Ant, To Build Games For Western Audiences"
245,Former Playfish VP Raises $2.6M from Accel for Stealthy Game Company
246,Food Subscription Service Foodzie Gets Gobbled Up By Video Shopping Network Joyus
247,"Android mobile platform, �up to� $US50 million (estimated)"
248,"NetMediaEurope Buys CBS Interactive�s German Sites, Including ZDNet.de And CNET.de"
249,Webroot Acquires Hosted Internet Security Services Provider BrightCloud
250,Facebook selects us as the firs PDC in Latin America
251,RelevantView Merges with Imperium
252,Petsky Prunier Advises SQAD on its Sale to Clarion Capital Partners
253,Danoo and Ideacast to relaunch as RMG Networks
254,Keep Your Little Ghosts & Goblins Safe From Ghouls This Halloween
255,BillMonk is now an Obopay company! Settle up online.
256,Thomson Reuters to Acquire Sabrix
257,Belgacom Gets a Taste of Jinni
258,"Alibaba Group Acquires Kanbox, A Personal Cloud Storage Service"
259,Biomedical Structures buys fellow Warwick biomaterial firm Concordia
260,Mavent Acquired By Ellie Mae
261,Onetime IPO Candidate Wintegra Bought By PMC-Sierra
262,Plexxikon Inc. To Join Daiichi Sankyo Group
263,"DISH Wins Bankruptcy Auction, Buys Blockbuster Assets For $228M In Cash"
264,3 Rules You Must Follow If You Want Your Company to Be Exceptional
265,Gehry Technologies Acquires Bimshare
266,RBC To Buy BlueBay For US$1.5B
267,37signals Buys Campfire iPhone App Ember
268,SAP Will Buy SuccessFactors For $3.4 BillionSAP Will Buy SuccessFactors For $3.4 Billion
269,Google Acquires Mobile Platform Operator Zingku
270,SAIC Completes Acquisition of Spectrum San Diego
271,"Pamet Software Purchases Hunter Systems Group, Inc.'s Consulting Business"
272,ServerCentral Completes Sale of WingSix Brand to UK-2 Group
273,ZeniMax Raised $105 Million To Buy Id Software
274,TrustedID Acquires Unsubscribe.com to Expand Consumer Protection
275,"In The Shadow Of YouTube, Vuclip Grows Its Mobile Video Network To 80M Uniques, Fends Off Suitors And Eyes Up Acquisitions"
276,Cascade Microtech Pays $27.7 Million for German Company
277,Carey Watermark Investors Buys Raleigh Marriott City Center for $89 Mln
278,AeroMechanical Services Ltd. Acquires Assets of Wingspeed Corporation
279,Pipex snaps up web host outfit £5.9m for Donhost
280,"Three Pillar Global Acquires Professional Services Division of PointAbout, Inc."
281,Tecomet pays $45M in cash for OEM biz
282,"Sciele Pharma, A Shionogi Company, To Acquire Addrenex Pharmaceuticals, Inc., A U.S. Specialty Pharmaceutical Company"
283,Canadian private equity group buys Civica for �380 million
284,"Augure Acquires iMente, the Spanish Leader in the Online and Social Media Monitoring Industry"
285,Infotech Enterprises announces its foray into the Hitech industry with Design services
286,EMC to complete Isilon buyout Tuesday
287,Pearson and Apple Acquire PowerSchool
288,"PureSafety Acquires Unique Software Solutions, Inc."
289,IQE acquires Galaxy Semiconductors
290,Peak Rock Buys Atlas Paper
291,Flipkart Acquires Letsbuy.com to Increase India Market Share
292,ZeniMax Raised $105 Million To Buy Id Software
293,Construction sector organizations in 100 percent ownership Tilaajavastuu Finland O
294,OUCH: AOL Sold Buy.at For Just $17 Million -- A $108 Million Loss
295,Nestle Buys 'Medical Food' Start-Up
296,RentPayment to Buy Property Bridge
297,Auctionpay Acquired by Global Payments Inc.
298,NetApp Announces Results for Third Quarter Fiscal Year 2013
299,Google Buys Sketch Up
300,Shopify Aquires Jet Cooper
301,Line Systems Acquires Magellan Hill Technologies
302,Westaim Announces Amalgamation Agreement with NUCRYST Pharmaceuticals
303,GEC offers over $4 billion for Fore Systems
304,Japan's Cybird Buys Mobile Entertainment Firm Airborne for $90 Million
305,Values of n Blog
306,Dell Shops Direct For Zing
307,Rackspace Joins Open Invention Network as Licensee
308,Viki Signs Deal with Universal Music Group
309,Salesforce.com Reported To Buy GoInstant
310,Baidu to Buy 59% of Renren�s Group-buying Service Nuomi for $160 million
311,"Experian Buys CheetahMail, Aims to Boost DM Services"
312,M2M DATA ACQUIRES IMPLICIT MONITORING SOLUTIONS
313,HARMAN Announces Successful Conclusion of $200M Sale of QNX Software Unit
314,Kronos® Acquires Stromberg from Paychex
315,This is what developing for Android looks like
316,Gannett Buying Belo in $2.2 Billion Deal
317,Vitalitec buys surgical device from Novare
318,"Fring, An Early Mover In Mobile Messaging And Video Apps, Sells For $50M To Genband To Build Out WhatsApps For Carriers"
319,"Confirmed: Elsevier Has Bought Mendeley For $69M-$100M To Expand Its Open, Social Education Data Efforts"
320,MassHighTech: The Journal of New England Technology
321,Sitemasher sold and winding down... but to whom?
322,SheKnows.com Buys Two Pregnancy Sites
323,Plum Creek buys Atlanta quarry interest for $154M
324,"Facebook Makes Another ""Acq-Hire"" Chai Labs; Deal Estimated At $10 Million"
325,GlaxoSmithKline Acquires Okairos for $325 Million
326,SonicWALL Acquired By Private Equity Group For $717M
327,InfoSpace sells directory business for $225 million
328,Microsoft Acquires PhoneFactor To Keep Hackers From Destroying Your Life
329,140 Proof Social Advertising Product Launch
330,Clicker Acquires - www.dahoodbuzz.com
331,"DiACardio LTD, & UltraLinq Healthcare Solutions Announce Partnership"
332,Terremark Acquires Leading Data Storage Company
333,SCM Microsystems and Hirsch Electronics to Merge
334,"Web 2.0 Finance Startup, Stockopedia raises over $700,000 in bid to transform online UK financial media - See more at: http://www.stockopedia.c"
335,Amazon spends $250M for Alexa Internet
336,Glu Mobile Expands Real-Money Gambling Portfolio with Probability
337,Gorkana joins Durrants and Metrica to deliver unique service for the PR industry
338,EnerNOC Q3 revenue jumps on customer growth
339,Mitre Media Announces $8.6M Capital Raise and Acquisitions
340,Are Slatecast’s Online Storyboard Tools Any Good?
341,"urlShort breaks 1,000 shortened URLs"
342,"Joobili almost back from the deadpool, finds buyer for assets with sale to TravelShark"
343,Athenahealth to pay up to $30M for Georgia firm
344,"Zynex Enters into Letter of Intent with NeuroDyne Medical, Corp."
345,Canadian Meter Company Picks Field Service 360
346,The Active Network Acquires Hy-Tek Sports Software
347,"Levine Leichtman Buys Genova Diagnostics From Nautic, Ferrer Freeman"
348,Conker enter Wayra accelerator
349,SVASE Unveils the ‘Hot’ Emerging Tech Companies to Debut at Launch: Silicon Valley 2010 — the Valley’s Leading Startup Showcase
350,Ascent Media Corporation Acquires Monitronics
351,RuTube Founders Exit at $15 Million Valuation
352,UBM Boost Online PR Business With $10 Million Virtual Press Office Acquisition
353,Apkudo Acquires Blue Potato
354,Netural holt sich Mark Kramer
355,"Cisco Systems Announces Agreement to Acquire Andiamo Systems, Inc."
356,"Goodbye, Cull TV. Hello MOX."
357,Freeman Acquires Encore Productions
358,Telenor snaps up Tele2's fibre broadband business for �88m
359,"DISH Wins Bankruptcy Auction, Buys Blockbuster Assets For $228M In Cash"
360,TypeFrag Selects Internap to Deliver High-Performance Network for Online Gaming VoIP
361,Bloomberg Agrees to Buy Bureau of National Affairs for About $990 Million
362,"LineRate Systems� Software Defined Network Services Redefine Performance, Flexibility and Cost for Cloud and Web Scale Service Providers.  Photobucket deploys LineRate Proxy to Scale On Demand While Slashing Costs"
363,Complex Media Acquires SuperGlued
364,Automattic Buys Up Thing Labs’ Plinky To Help Bloggers Overcome Writer’s Block
365,Canadian Standards Association Aquires Distil Interactive
366,VMware Buys B-hive for Performance Scans
367,Honored by the Windows Azure Partner Award of 2010
368,Teradata Quiet on Plans for Database Virtualization Vendor xkoto
369,PacWest Bancorp to buy CapitalSource for $2.29 billion
370,Founders Of Oweing.Com Launch DebtScore.Com
371,Electronic Arts Acquires Vision Software PTY Ltd.
372,Yahoo Spins Off Blo.gs To Automattic
373,Komli Media Expands Aggressively Across Asia-Pacific
374,Synnex buys IBM's customer care BPO services business for $505 million
375,PLATO Learning Enters into Merger Agreement with Thoma Bravo
376,Odyssey Investment Partners Buys Fischbein
377,"Company Preparing to Launch ""ubroadcast TV,"" an Online Video Community"
378,Salesforce reported to buy GoInstant for $70m
379,"Haemonetics concludes successful tender for Global Med Technologies, Inc."
380,Google Buys Sketch Up
381,Nuance Communications To Buy QuadraMed's Health Information Management Business
382,Telecom Italia Completes Sale of LibertySurf Group to Iliad
383,Music Tech Pioneers Combine to Create Premier Site for Collaboration
384,"ABB Buys Another One: MIncom, for Managing Mines"
385,Comtech and CPI International Announce Termination of Merger Agreement
386,Filogix To Acquire Cyence International Inc.
387,Verisign Sells mQube to Mobile Messenger for
388,Tampa Bay's Plan to Start
389,Praxair Acquires Dominion Gas
390,Sina Afra invests in Lidyana
391,Texas Investors Highlander Buys ProService Poland from Enterprise Investors Co
392,IBM to buy OpenPages
393,"Tangoe, Inc. Acquires ttMobiles"
394,Выгода.ру – победитель народного голосования «Выбор потребителей 2011″!
395,Spanish buyer set to take over Talecris
396,Investcorp Buys 30% Stake In Leading Turkish Menswear Retailer Orka Group
397,"Preferred Systems Solutions, Inc. (PSS), announced today that it has acquired Integrated Network Services, Inc. (INSI)"
398,Yellow Media Sells Vertical Media Publishing Subsidiary For $745 Million In Cash
399,Danoo and Ideacast to relaunch as RMG Networks
