,Acq Status,Acquirer,Acquired,Completion Time,Student,Headline
512,No,,,1.7030000000000003,1,Saft Awarded $1.2 Million Contract by Ball Aerospace to Provide Lithium-ion Battery for LEO Satellite Program
517,Yes,InnerWorkings,UK- Based etrinsic Print Outsource Firm,31.562,1,InnerWorkings Acquires UK-Based etrinsic Print Outsource Firm
522,Yes,Mascoma,SunOpta BioProcess Inc.,15.643,1,Mascoma Acquires SunOpta BioProcess Inc.
523,No,,,2.5709999999999997,1,Vacation Home Spring of 2013
525,No,,,2.6780000000000004,1,Midas Medici's CIMCORP Wins $3 Million Contract for Data Center Solutions in Brazil
527,Yes,Transcend Infrastructure (American Tower),Essar Telecom Infrastructure,36.714000000000006,1,Transcend Infrastructure (American Tower) to acquire Essar Telecom Infrastructure
531,No,,,1.8570000000000002,1,Amazon spends $250M for Alexa Internet
533,No,,,2.009,1,Pfizer ups ante on Santaris RNA discovery deal with $614M pact
538,Not a headline,,,8.09,1,Meredith 10-q for Dec 2010
542,Yes,SAIC,Atlan,6.7330000000000005,1,SAIC announces acquisition of Atlan
545,Not a headline,,,3.5170000000000003,1,KeyToSound website front page news
557,No,,,2.3100000000000005,1,A NEW QUALITY FACTOR: FINDING ALPHA  WITH ASSET4 ESG DATA
558,No,,,1.8559999999999994,1,"LiveIntent Adds Jason Pressman to Board, Raises $8 millon"
560,Yes,Yahoo,Lexity,8.04,1,"Yahoo Acquires Lexity, Will Keep Ecommerce App Platform Running But Rebrand It"
562,No,,,8.948,1,OUCH: AOL Sold Buy.at For Just $17 Million -- A $108 Million Loss
563,Yes,Gimv,CapMan Investments,14.344,1,Gimv Buys CapMan Investments and Commitments
568,No,,,1.7670000000000012,1,DFL-DDP Version 1.2 Is Coming Available In Our User-Only Forum
569,Not a headline,,,4.5280000000000005,1,One Two Trade Forex
576,No,,,1.8640000000000003,1,TXTImpact Released Enhanced SMS Autoresponder for Text Message Marketing
579,Yes,Startup ,eNom,12.966000000000001,1,Startup Acquires Web Host eNom
583,No,,,2.3200000000000003,1,We’ll be providing certified digital IDs to French citizens with group La Poste
589,No,,,9.592,1,One year after the acquisition: was it all worth it?
590,Yes,Diller's IAC ,Zero Degrees,14.05,1,Diller's IAC buys social network site Zero Degrees
592,Yes,oneQube SmartStream,TweetChat,23.765,1,Say Goodbye to TweetChat� It�s Being Absorbed Into oneQube SmartStream
598,No,,,1.9190000000000005,1,Software Updates Can't Slow Comm100 Live Chat
602,Yes,WANdisco,AltoStor,10.193999999999999,1,Big Data Consolidation: WANdisco Buys AltoStor For $5.1M To Beef Up Its Apache Hadoop Cred
615,Yes,Ebay,BillMeLater and DBA.dk,18.87,1,"Ebay Spends More Than $1.2 Billion To Buy BillMeLater And DBA.dk, And Lays Off 10% Of Employees"
619,No,,,3.289,1,"Liberty Global Buys 100% equity in ASTER, from Mid Europa"
623,No,,,3.7550000000000003,1,"Daren Bitter - Director of Sales, Blink Consulting"
626,Yes,Linux Foundation,Tuxera,16.395000000000003,1,Tuxera Joins Linux Foundation
627,No,,,1.9329999999999998,1,Appear Wins “Groundbreaking Technology Award” at Global AirRail Awards 2011
630,Yes,'@WalmartLabs,OneOps and Tasty Labs,19.756,1,@WalmartLabs Acquires Cloud Computing Startup OneOps & Delicious Founder�s Tasty Labs
635,No,,,3.718,1,Cloud computing heats up as SourceFire pays $21M for Immunet
642,Yes,Itron,Asais,6.295,1,Smart Grid Shopping: Itron Acquires Asais
646,Yes,Joyus,Foodzie,16.687,1,Food Subscription Service Foodzie Gets Gobbled Up By Video Shopping Network Joyus
650,No,,,1.9540000000000002,1,Facebook selects us as the firs PDC in Latin America
651,Yes,RelevantView,Imperium,11.925,1,RelevantView Merges with Imperium
653,Not sure,Danoo,Ideacast,20.828000000000003,1,Danoo and Ideacast to relaunch as RMG Networks
654,Not a headline,,,4.709,1,Keep Your Little Ghosts & Goblins Safe From Ghouls This Halloween
656,Yes,Thomson Reuters,Sabrix,10.161,1,Thomson Reuters to Acquire Sabrix
658,Yes,Alibaba Group,Kanbox,11.418999999999999,1,"Alibaba Group Acquires Kanbox, A Personal Cloud Storage Service"
661,No,,,2.6580000000000004,1,Onetime IPO Candidate Wintegra Bought By PMC-Sierra
665,Yes,Gehry Technologies,Bimshare,13.488000000000001,1,Gehry Technologies Acquires Bimshare
667,Yes,37signals ,Ember,12.354,1,37signals Buys Campfire iPhone App Ember
672,No,,,3.1529999999999996,1,ServerCentral Completes Sale of WingSix Brand to UK-2 Group
676,Yes,Cascade Microtech,German Company,18.5,1,Cascade Microtech Pays $27.7 Million for German Company
683,No,,,2.187,1,Canadian private equity group buys Civica for �380 million
685,No,,,2.4779999999999998,1,Infotech Enterprises announces its foray into the Hitech industry with Design services
687,Yes,Pearson and Apple,PowerSchool,15.944,1,Pearson and Apple Acquire PowerSchool
688,Yes,PureSafety,"Unique Software Solutions, Inc.",25.131999999999998,1,"PureSafety Acquires Unique Software Solutions, Inc."
689,Yes,IQE,Galaxy Semiconductors,17.659,1,IQE acquires Galaxy Semiconductors
693,Not sure,,,7.9479999999999995,1,Construction sector organizations in 100 percent ownership Tilaajavastuu Finland O
696,Yes,RentPayment,Property Bridge,15.203,1,RentPayment to Buy Property Bridge
700,Yes,Shopify,Jet Cooper,13.149,1,Shopify Aquires Jet Cooper
702,Yes,Westaim,NUCRYST Pharmaceuticals,20.803,1,Westaim Announces Amalgamation Agreement with NUCRYST Pharmaceuticals
707,No,,,4.37,1,Rackspace Joins Open Invention Network as Licensee
708,No,,,3.3309999999999995,1,Viki Signs Deal with Universal Music Group
710,Yes,Baidu,Renren's Group,14.794,1,Baidu to Buy 59% of Renren�s Group-buying Service Nuomi for $160 million
711,Yes,Experian,CheetahMail,10.152,1,"Experian Buys CheetahMail, Aims to Boost DM Services"
714,Yes,Kronos,Stormberg,11.957,1,Kronos® Acquires Stromberg from Paychex
715,Not a headline,,,5.068999999999999,1,This is what developing for Android looks like
718,Yes,Genband,Fring,20.435,1,"Fring, An Early Mover In Mobile Messaging And Video Apps, Sells For $50M To Genband To Build Out WhatsApps For Carriers"
722,Yes,SheKnows.com,Two Pregnancy Sites,13.173000000000002,1,SheKnows.com Buys Two Pregnancy Sites
723,Yes,Plum Creek,Atlanta quarry,13.908,1,Plum Creek buys Atlanta quarry interest for $154M
724,No,,,8.209000000000001,1,"Facebook Makes Another ""Acq-Hire"" Chai Labs; Deal Estimated At $10 Million"
729,No,,,2.349,1,140 Proof Social Advertising Product Launch
730,Yes,Clicker,www.dahoodbuzz.com,20.999000000000002,1,Clicker Acquires - www.dahoodbuzz.com
734,No,,,4.829,1,"Web 2.0 Finance Startup, Stockopedia raises over $700,000 in bid to transform online UK financial media - See more at: http://www.stockopedia.c"
740,No,,,3.604,1,Are Slatecast’s Online Storyboard Tools Any Good?
743,Not sure,,,5.171,1,Athenahealth to pay up to $30M for Georgia firm
745,No,,,7.006,1,Canadian Meter Company Picks Field Service 360
749,No,,,3.0310000000000006,1,SVASE Unveils the ‘Hot’ Emerging Tech Companies to Debut at Launch: Silicon Valley 2010 — the Valley’s Leading Startup Showcase
750,Yes,Ascent Media Corporation,Monitronics,15.056000000000001,1,Ascent Media Corporation Acquires Monitronics
751,No,,,1.833,1,RuTube Founders Exit at $15 Million Valuation
752,No,,,2.463,1,UBM Boost Online PR Business With $10 Million Virtual Press Office Acquisition
753,Yes,Apkudo,Blue Potato,10.412,1,Apkudo Acquires Blue Potato
754,No,,,3.3939999999999997,1,Netural holt sich Mark Kramer
755,Yes,Cisco Systems,"Andiamo Systems, Inc.",23.269000000000002,1,"Cisco Systems Announces Agreement to Acquire Andiamo Systems, Inc."
756,No,,,2.6780000000000004,1,"Goodbye, Cull TV. Hello MOX."
757,Yes,Freeman ,Encore Productions,13.83,1,Freeman Acquires Encore Productions
758,No,,,2.652,1,Telenor snaps up Tele2's fibre broadband business for �88m
762,No,,,2.405,1,"LineRate Systems� Software Defined Network Services Redefine Performance, Flexibility and Cost for Cloud and Web Scale Service Providers.  Photobucket deploys LineRate Proxy to Scale On Demand While Slashing Costs"
763,Yes,Complex Media,SuperGlued,13.085999999999999,1,Complex Media Acquires SuperGlued
766,Yes,VMware,B-hive,11.993,1,VMware Buys B-hive for Performance Scans
767,No,,,3.942,1,Honored by the Windows Azure Partner Award of 2010
768,No,,,2.7449999999999997,1,Teradata Quiet on Plans for Database Virtualization Vendor xkoto
769,Yes,PacWest Bancorp ,CapitalSource,17.019000000000002,1,PacWest Bancorp to buy CapitalSource for $2.29 billion
774,Yes,Synnex,BPO services,12.768,1,Synnex buys IBM's customer care BPO services business for $505 million
778,Yes,Salesforce,Golnstant,13.021999999999998,1,Salesforce reported to buy GoInstant for $70m
788,No,,,2.671,1,Tampa Bay's Plan to Start
791,Yes,Texas Investors Highlander,Proservice Poland,27.218,1,Texas Investors Highlander Buys ProService Poland from Enterprise Investors Co
796,No,,,3.4849999999999994,1,Investcorp Buys 30% Stake In Leading Turkish Menswear Retailer Orka Group
798,No,,,2.4939999999999998,1,Yellow Media Sells Vertical Media Publishing Subsidiary For $745 Million In Cash
802,No,,,94.576,2,Docmail Connect for Google Apps launched!
804,No,,,75.692,2,Entech Solar Enters Into Preferred Stock Agreement of Up to $5 million
805,Yes,Qiagen,Corbett Life Science,27.412000000000003,2,Qiagen to pay up to $135M for Corbett Life Science.
809,Yes,KEYON,DYNAMIC BROADBAND WIRELESS ASSETS,8.202000000000002,2,KEYON COMPLETES PURCHASE OF DYNAMIC BROADBAND WIRELESS ASSETS
811,Yes,Microsoft,Azyxxi,60.533,2,Microsoft Expands Presence in Healthcare IT Industry With Acquisition of Health Intelligence Software Azyxxi
813,Not sure,BETACOM SA,EO NETWORKS SA,8.108000000000004,2,BETACOM SA CONNECTS TO THE EO NETWORKS SA
827,No,,,37.794,2,"EGPI Firecreek, Inc. Subsidiary Terra Telecom Partners with New England-Based Community College"
829,Not a headline,,,12.009,2,Allscripts HIMSS Press Release
832,No,,,1.6969999999999992,2,Zillow Buys Real Estate Listings Creation And Distribution Tool Postlets
842,Not a headline,,,8.19,2,EditMe - Reviews by PC Magazine
846,No,,,41.843,2,SYNETY eyes global expansion with proposed reverse AIM listing
847,No,,,6.073,2,"Pipeline embraces expression, expansion at Innovator of the Year"
848,Yes,Adelman Travel,TravelText,9.197,2,Adelman Travel Announces Partnership with TravelText
852,No,,,11.313,2,Crosslink Names Former Bay Partners GP Eric Chin As Partner
853,No,,,9.649,2,"Internet Brands Buys Two Web Sites, Looks To Future Acquisitions"
862,Not a headline,,,4.261,2,Vacation Home Spring of 2013
863,Yes,"Gamefly, Inc.",Direct2Drive.com,6.375,2,"Gamefly, Inc. acquired Direct2Drive.com"
864,Yes,Hostgator.com LLC,"AptHost Communications USA Ltd (""Apthost"")",15.487999999999996,2,"Rancho Santa Monica Developments entered into an Agreement to sell AptHost Communications USA Ltd (""Apthost"") to Hostgator.com LLC"
870,Yes,CognitiveData,CMS Direct,10.086,2,CognitiveData acquires CMS Direct
873,No,,,15.472,2,Stryker Announces Agreements To Acquire Assets
878,No,,,8.627,2,"Trianz announces Beta release of IPSpace 1.0, a Royalty Management Solution for Intellectual Property Owners in High-Tech and Media Industries"
880,No,,,20.778,2,Equilar's Social Atlas Helps Advisers Lure Wealthy Facebook-Skipping CEOs
881,No,,,6.464,2,TCA's Ralph Mayer Joins Angel Capital Association Board
886,No,,,16.684,2,Yellow Media Sells Vertical Media Publishing Subsidiary For $745 Million In Cash
887,Yes,Boston Scientific,Intelect Medical,10.352,2,Boston Scientific buys Intelect Medical for $60M
891,No,,,10.076,2,"Google Buys Wind Power, First Deal for “Google Energy”"
896,No,,,11.065,2,"Amazon buys screen tech from Samsung, introduces its own currency"
897,Yes,Platinum Equity,CBS Outdoor,8.817,2,Platinum Equity to Buy CBS Outdoor in $225 Mln Deal
899,Yes,NICHE,ChiHealth,6.116,2,Merger of NICHE and ChiHealth
905,Yes,The Pursuant Group,KMA Direct Communications,10.966,2,The Pursuant Group Acquires KMA Direct Communications
907,Yes,Icarus Studios,Zabu Studio,26.673,2,"Under NECA, Developers Icarus Studios, Zabu Studio Announce Merger to Form MFV"
